2015-11-25
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK003618 重庆农商 3.385 5.088 0.6653 0.184 1.6910 
HK006818 光大银行 2.902 4.353 0.6665 0.169 1.8361 
HK003988 中国银行 2.647 4.054 0.6529 0.136 2.0900 
HK001988 民生银行 5.854 8.318 0.7038 0.172 2.1541 
HK000939 建设银行 4.174 5.664 0.7369 0.180 2.3458 
HK001288 农业银行 2.443 3.455 0.7073 0.158 2.3693 
HK001398 工商银行 3.580 4.821 0.7426 0.180 2.3933 
HK003968 招商银行 13.235 14.563 0.9088 0.223 2.9726 
SH601398 工商银行 4.320 4.821 0.8960 0.180 3.5299 
SH601818 光大银行 3.860 4.354 0.8865 0.169 3.6583 
SH601009 南京银行 15.410 13.890 1.1094 0.237 3.7409 
SH601939 建设银行 5.300 5.664 0.9357 0.180 3.7900 
SH600000 浦发银行 17.050 15.341 1.1114 0.234 3.8030 
SH601166 兴业银行 15.800 15.142 1.0435 0.206 3.9246 
SH600036 招商银行 16.040 14.563 1.1014 0.223 3.9289 
SH601288 农业银行 3.090 3.455 0.8944 0.158 3.9733 
SH601328 交通银行 5.800 6.992 0.8295 0.132 4.0909 
SH601169 北京银行 10.120 8.989 1.1258 0.219 4.1024 
SH601998 中信银行 6.500 6.563 0.9905 0.175 4.2339 
SZ002142 宁波银行 13.380 10.447 1.2808 0.240 4.3687 
SH600015 华夏银行 10.340 10.819 0.9557 0.157 4.4493 
SH600016 民生银行 8.460 8.318 1.0171 0.172 4.4744 
SZ000001 平安银行 10.760 11.406 0.9434 0.150 4.5455 
SH601988 中国银行 3.650 4.054 0.9004 0.136 4.6061

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.883 6.566 0.591 0.175 1.0405 
HK003328 交通银行 4.172 6.995 0.596 0.132 1.4243 
HK003618 重庆农商 3.392 5.090 0.666 0.184 1.6992 
HK006818 光大银行 2.900 4.356 0.666 0.169 1.8289 
HK003988 中国银行 2.645 4.055 0.652 0.136 2.0828 
HK001988 民生银行 5.876 8.323 0.706 0.172 2.1740 
HK001288 农业银行 2.425 3.456 0.702 0.158 2.3143 
HK000939 建设银行 4.155 5.667 0.733 0.180 2.3145 
HK001398 工商银行 3.536 4.823 0.733 0.180 2.3152 
HK003968 招商银行 13.482 14.573 0.925 0.223 3.0613 
SH601398 工商银行 4.320 4.823 0.896 0.180 3.5275 
SH601818 光大银行 3.880 4.357 0.891 0.169 3.6879 
SH601939 建设银行 5.270 5.667 0.930 0.180 3.7526 
SH601009 南京银行 15.500 13.898 1.115 0.237 3.7655 
SH600036 招商银行 15.980 14.573 1.097 0.223 3.9071 
SH600000 浦发银行 17.450 15.349 1.137 0.234 3.9109 
SH601166 兴业银行 15.790 15.151 1.042 0.206 3.9179 
SH601169 北京银行 9.970 8.994 1.109 0.219 4.0245 
SH601288 农业银行 3.130 3.456 0.906 0.158 4.0578 
SH601328 交通银行 5.810 6.995 0.831 0.132 4.1015 
SH601998 中信银行 6.520 6.566 0.993 0.175 4.2500 
SZ002142 宁波银行 13.470 10.452 1.289 0.240 4.3972 
SH600015 华夏银行 10.340 10.823 0.955 0.157 4.4467 
SH600016 民生银行 8.470 8.323 1.018 0.172 4.4781 
SH601988 中国银行 3.630 4.055 0.895 0.136 4.5604 
SZ000001 平安银行 10.810 11.410 0.947 0.150 4.5759 

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.945 6.569 0.601 0.175 1.1358 
HK003328 交通银行 4.193 6.998 0.599 0.132 1.4624 
HK003618 重庆农商 3.416 5.093 0.671 0.184 1.7384 
HK006818 光大银行 3.006 4.358 0.690 0.169 2.0555 
HK003988 中国银行 2.682 4.057 0.661 0.136 2.1863 
HK001988 民生银行 5.969 8.328 0.717 0.172 2.2698 
HK001398 工商银行 3.578 4.825 0.742 0.180 2.3850 
HK000939 建设银行 4.219 5.670 0.744 0.180 2.4039 
HK001288 农业银行 2.477 3.458 0.716 0.158 2.4548 
HK003968 招商银行 13.664 14.582 0.937 0.223 3.1251 
SH601398 工商银行 4.300 4.825 0.891 0.180 3.4969 
SH601818 光大银行 3.830 4.359 0.879 0.169 3.6016 
SH601939 建设银行 5.200 5.670 0.917 0.180 3.6686 
SH601009 南京银行 15.230 13.907 1.095 0.237 3.6802 
SH600036 招商银行 15.870 14.582 1.088 0.223 3.8697 
SH601166 兴业银行 15.700 15.161 1.036 0.206 3.8841 
SH600000 浦发银行 17.390 15.357 1.132 0.234 3.8920 
SH601998 中信银行 6.270 6.569 0.954 0.175 4.0049 
SH601169 北京银行 9.950 8.998 1.106 0.219 4.0119 
SH601328 交通银行 5.750 6.998 0.822 0.132 4.0142 
SH601288 农业银行 3.120 3.458 0.902 0.158 4.0326 
SH600015 华夏银行 10.070 10.827 0.930 0.157 4.2624 
SZ002142 宁波银行 13.240 10.458 1.266 0.240 4.3146 
SH601988 中国银行 3.580 4.057 0.882 0.136 4.4492 
SH600016 民生银行 8.450 8.328 1.015 0.172 4.4595 
SZ000001 平安银行 10.710 11.414 0.938 0.150 4.5066 
